﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
FoodPreservation_Completed_Event_CardName,Food Preservation Complete,食料保存　完了
FoodPreservation_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
FoodPreservation_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
FoodPreservation_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
FoodPreservation_Main_QuestTitle,Food Preservation,食料保存
FoodPreservation_Obj1_CraftAFermentationBin_ObjectiveDescription,Craft a Fermentation Bin,発酵箱を作る
FoodPreservation_Obj2_BuildASmokehouse__ObjectiveDescription,Build a Smokehouse,スモークハウスを作る
FoodPreservation_Obj3_BuildACellar_ObjectiveDescription,Build a Cellar,セラーを作る
FoodPreservation_Sub1_CraftAFermentationBin_QuestTitle,Craft a Fermentation Bin,発酵箱を作る
FoodPreservation_Sub2_BuildASmokehouse__QuestTitle,Build a Smokehouse,スモークハウスを作る
FoodPreservation_Sub3_BuildACellar_QuestTitle,Build a Cellar,セラーを作る
FurClothing_Completed_ObjectiveDescription*,Fur Clothing,毛皮衣装
FurClothing_Completed_OnCompleteActions[0].ActionName*,Completed,完了
FurClothing_Completed_Event_CardName*,Fur Clothing Complete,毛皮衣装　完了
FurClothing_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
FurClothing_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
FurClothing_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,　完了
FurClothing_Main_QuestTitle*,Fur Clothing,毛皮衣装
FurClothing_Obj1_CraftAFurCoat_ObjectiveDescription,Craft a Fur Coat,毛皮のコートを作る
FurClothing_Obj2_CraftMuttens_ObjectiveDescription,Craft Mittens,ミトンを作る
FurClothing_Sub1_CraftAFurCoat_QuestTitle,Craft a Fur Coat,毛皮のコートを作る
FurClothing_Sub2_CraftMittens_QuestTitle,Craft Mittens,ミトンを作る
ImprovisedShelter_Completed_ObjectiveDescription*,Improvised Shelter,手作りシェルター
ImprovisedShelter_Completed_OnCompleteActions[0].ActionName*,Completed,完了
ImprovisedShelter_Completed_Event_CardName*,Improvised Shelter Complete,手作りシェルター完了
ImprovisedShelter_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
ImprovisedShelter_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
ImprovisedShelter_DisplayConditions_OnCompleteActions[0].ActionName*,Unlocked,　完了
ImprovisedShelter_Main_QuestTitle*,Improvised Shelter,手作りシェルター
ImprovisedShelter_Obj1_HarvestNettle_ObjectiveDescription*,Harvest Nettle,イラクサを収穫する
ImprovisedShelter_Obj2_WashYourselfToTreatTheRash_ObjectiveDescription*,Wash yourself to Treat the Rash,発疹を治療するために体を洗う
ImprovisedShelter_Obj3_MakeSomeTwineWithTheNettle_ObjectiveDescription*,Make some Twine with the Nettle,イラクサで紐を作る
ImprovisedShelter_Obj4_BuildAnImprovisedShelter_ObjectiveDescription*,Build an Improvised Shelter,手作りシェルターを作る
ImprovisedShelter_Sub1_HarvestNettle_QuestTitle*,Harvest Nettle,イラクサを収穫する
ImprovisedShelter_Sub2_WashYourselfToTreatTheRash_QuestTitle*,Wash yourself to Treat the Rash,発疹を治療するために体を洗う
ImprovisedShelter_Sub3_MakeSomeTwineWithTheNettle_QuestTitle*,Make some Twine with the Nettle,イラクサで紐を作る
ImprovisedShelter_Sub4_BuildAnImprovisedShelter_QuestTitle*,Build an Improvised Shelter,手作りシェルターを作る
IntermediateCooking_Completed_ObjectiveDescription*,Intermediate Cooking,中級料理
IntermediateCooking_Completed_OnCompleteActions[0].ActionName*,Completed,完了
IntermediateCooking_Completed_Event_CardName*,Basic Cooking Complete,中級料理　完了
IntermediateCooking_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediateCooking_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
IntermediateCooking_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
IntermediateCooking_Main_QuestTitle*,Intermediate Cooking,中級料理
IntermediateCooking_Obj1_FireAClayCauldron_ObjectiveDescription*,Fire a Clay Cauldron,粘土の鍋を焼く
IntermediateCooking_Obj2_MakeABroth_ObjectiveDescription*,Make a Broth by boiling water in a Cauldron and adding food,鍋の中にお湯と食べ物を入れて出汁を取る
IntermediateCooking_Obj3_TurnABrothIntoPottageByMaxingItsThickness_ObjectiveDescription,Turn a Broth into Pottage by maxing its Thickness,出汁の濃厚さを最大にしてポタージュを作る
IntermediateCooking_Sub1_FireAClayCauldron_QuestTitle*,Fire a Clay Cauldron,粘土の鍋を焼く
IntermediateCooking_Sub2_MakeABroth_QuestTitle*,Make a Broth by boiling water in a Cauldron and adding food,鍋の中にお湯と食べ物を入れて出汁を取る
IntermediateCooking_Sub3_TurnABrothIntoPottageByMaxingItsThickness_QuestTitle,Turn a Broth into Pottage by maxing its Thickness,出汁の濃厚さを最大にしてポタージュを作る
IntermediateHunting_Completed_ObjectiveDescription*,Intermediate Hunting,中級狩猟
IntermediateHunting_Completed_OnCompleteActions[0].ActionName*,Completed,完了
IntermediateHunting_Completed_Event_CardName*,Intermediate Hunting Complete,中級狩猟完了
IntermediateHunting_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediateHunting_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
IntermediateHunting_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
IntermediateHunting_Main_QuestTitle*,Intermediate Hunting,中級狩猟
IntermediateHunting_Obj1_CraftAFlintSpear_ObjectiveDescription*,Craft a Flint Spear,火打石の槍を作る
IntermediateHunting_Obj2_HuntADeerOrBoar_ObjectiveDescription,Hunt a Deer,鹿かを狩る
IntermediateHunting_Sub1_CraftAFlintSpear_QuestTitle*,Craft a Flint Spear,火打石の槍を作る
IntermediateHunting_Sub2_HuntADeerOrBoar_QuestTitle,Hunt a Deer,鹿を狩る
IntermediatePlantwear_Completed_ObjectiveDescription,Intermediate Plantwear,中級植物衣装
IntermediatePlantwear_Completed_OnCompleteActions[0].ActionName,Completed,完了
IntermediatePlantwear_Completed_Event_CardName,Intermediate Plantwear Complete,中級植物衣装　完了
IntermediatePlantwear_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediatePlantwear_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
IntermediatePlantwear_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
IntermediatePlantwear_Main_QuestTitle,Intermediate Plantwear,中級植物衣装
IntermediatePlantwear_Obj1_MakeAReedCoatAndEquipIt_ObjectiveDescription,Make a Reed Coat and Equip it,ヨシのコートを作って装備する
IntermediatePlantwear_Obj2_MakeBarkSandalsAndEquipThem_ObjectiveDescription,Make Bark Sandals and Equip them,樹皮のサンダルを作って装備する
IntermediatePlantwear_Sub1_MakeAReeCoatAndEquipIt_QuestTitle,Make a Reed Coat and Equip it,ヨシのコートを作って装備する
IntermediatePlantwear_Sub2_MakeBarkSandalsAndEquipThem_QuestTitle,Make Bark Sandals and Equip them,樹皮のサンダルを作って装備する
IntermediatePottery_Completed_ObjectiveDescription*,Intermediate Pottery,中級陶器
IntermediatePottery_Completed_OnCompleteActions[0].ActionName*,Completed,完了
IntermediatePottery_Completed_Event_CardName*,Intermediate Pottery Complete,中級陶器　完了
IntermediatePottery_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediatePottery_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
IntermediatePottery_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
IntermediatePottery_Main_QuestTitle*,Intermediate Pottery,中級陶器
IntermediatePottery_Obj1_ExtractCoalFromAFire_ObjectiveDescription*,Extract Coal from a Fire,火から石炭を取り出す
IntermediatePottery_Obj2_BuildAOven_ObjectiveDescription*,Build an Oven,オーブンを作る
IntermediatePottery_Obj3_FireACookingPot_ObjectiveDescription*,Fire a Cooking Pot,料理ポットを焼く
IntermediatePottery_Obj4_DrySomeMeatOrFishOnLowHeat_ObjectiveDescription,Dry some Meat or Fish on low heat,弱火で肉か魚を乾燥させる
IntermediatePottery_Sub1_ExtractCoalFromAFire_QuestTitle*,Extract Coal from a Fire,火から石炭を取り出す
IntermediatePottery_Sub2_BuildAOven_QuestTitle*,Build a Oven,オーブンを作る
IntermediatePottery_Sub3_FireACookingPot_QuestTitle*,Fire a Cooking Pot,料理ポットを焼く
IntermediatePottery_Sub4_DrySomeMeatOrFishOnLowHeat_QuestTitle,Dry some Meat or Fish on low heat,弱火で肉か魚を乾燥させる
IntermediateTrapping_Completed_ObjectiveDescription*,Intermediate Trapping,中級罠作り
IntermediateTrapping_Completed_OnCompleteActions[0].ActionName*,Completed,完了
IntermediateTrapping_Completed_Event_CardName*,Intermediate Trapping Complete,中級罠作り　完了
IntermediateTrapping_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediateTrapping_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
IntermediateTrapping_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,　完了
IntermediateTrapping_Main_QuestTitle*,Intermediate Trapping,中級罠作り
IntermediateTrapping_Obj1_BuildALogTrap_ObjectiveDescription*,Build a Log Trap,丸太の罠を作る
IntermediateTrapping_Obj2_BuildASnareTrap_ObjectiveDescription*,Build a Snare Trap,くくり罠を作る
IntermediateTrapping_Obj3_BuildACageAndPutAPartridgeInsideToAttractMoreBirds_ObjectiveDescription*,Build a Cage and Put a Patridge inside to attract more Birds,檻を作って鳥を引き寄せるためにヤマウズラを入れる
IntermediateTrapping_Sub1_BuildALogTrap_QuestTitle*,Build a Log Trap,丸太の罠を作る
IntermediateTrapping_Sub2_BuildASnareTrap_QuestTitle*,Build a Snare Trap,くくり罠を作る
IntermediateTrapping_Sub3_BuildACageAndPutAPartridgeInsideToAttractMoreBirds_QuestTitle*,Build a Cage and Put a Patridge inside to attract more Birds,檻を作って鳥を引き寄せるためにヤマウズラを入れる
IntermediateWeaving_Completed_ObjectiveDescription,Intermediate Weaving,中級織物
IntermediateWeaving_Completed_OnCompleteActions[0].ActionName,Completed,完了
IntermediateWeaving_Completed_Event_CardName,Intermediate Weaving Complete,中級織物　完了
IntermediateWeaving_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
IntermediateWeaving_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
IntermediateWeaving_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
IntermediateWeaving_Main_QuestTitle,Intermediate Weaving,中級織物
IntermediateWeaving_Obj1_CraftASpindle_ObjectiveDescription,Craft a Spindle,紡錘器を作る
IntermediateWeaving_Obj2_BuildALoom_ObjectiveDescription,Build a Loom,織機を作る
IntermediateWeaving_Obj3_WeaveSomeCloth_ObjectiveDescription,Weave some Cloth,布を織る
IntermediateWeaving_Obj4_CraftAShirt_ObjectiveDescription,Craft a Clothing Item,シャツを作る
IntermediateWeaving_Sub1_CraftASpindle_QuestTitle,Craft a Spindle,紡錘器を作る
IntermediateWeaving_Sub2_BuildALoom_QuestTitle,Build a Loom,織機を作る
IntermediateWeaving_Sub3_WeaveSomeCloth_QuestTitle,Weave some Cloth,布を織る
IntermediateWeaving_Sub4_CraftAShirt_QuestTitle,Craft a Clothing Item,シャツを作る
MudHutImprovements_Completed_ObjectiveDescription,Mud Hut Improvements,泥小屋リノベーション
MudHutImprovements_Completed_OnCompleteActions[0].ActionName,Completed,完了
MudHutImprovements_Completed_Event_CardName,Mud Hut Improvements Complete,泥小屋リノベーション　完了
MudHutImprovements_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
MudHutImprovements_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
MudHutImprovements_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
MudHutImprovements_Main_QuestTitle,Mud Hut Improvements,泥小屋リノベーション
MudHutImprovements_Obj1_BuildADoor_ObjectiveDescription,Build a Door,ドアを作る
MudHutImprovements_Obj2_BuildSomeEarthenFloors_ObjectiveDescription,Build some Earthen Floors,地のフロアを作る
MudHutImprovements_Obj3_BuildAFirePlace_ObjectiveDescription,Build a Fireplace,暖炉を作る
MudHutImprovements_Sub1_BuildADoor_QuestTitle,Build a Door,ドアを作る
MudHutImprovements_Sub2_BuildSomeEarthenFloors_QuestTitle,Build some Earthen Floors,地のフロアを作る
MudHutImprovements_Sub3_BuildAFireplace_QuestTitle,Build a Fireplace,暖炉を作る
MudHut_Completed_ObjectiveDescription,Mud Hut,泥小屋
MudHut_Completed_OnCompleteActions[0].ActionName,Completed,完了
MudHut_Completed_Event_CardName,Mut Hut Complete,泥小屋　完了
MudHut_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
MudHut_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
MudHut_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
MudHut_Main_QuestTitle,Mud Hut,泥小屋
MudHut_Obj2_MixMudWithReeds_ObjectiveDescription,Mix Mud with Reeds,ヨシと泥を混ぜる
MudHut_Obj3_BuildAMudHut_ObjectiveDescription,Build a Rustic Hut,シンプルな小屋を作る
MudHut_Obj4_BuildAnImprovisedBed_ObjectiveDescription,Build an Improvised bed,手作りベッドを作る
MudHut_Obj5_BuildABroom_ObjectiveDescription,Build a Broom,ほうきを作る
MudHut_Obj6_CleanYourHut_ObjectiveDescription,Clean your Hut,小屋を掃除する
MudHut_Sub2_MixMudWithReeds_QuestTitle,Mix Mud with Reeds,ヨシと泥を混ぜる
MudHut_Sub3_BuildAMudHut_QuestTitle,Build a Rustic Hut,シンプルな小屋を作る
MudHut_Sub4_BuildAnImprovisedBed_QuestTitle,Build an Improvised bed,手作りベッドを作る
MudHut_Sub5_BuildABroom_QuestTitle,Build a Broom,ほうきを作る
MudHut_Sub6_CleanYourHut_QuestTitle,Clean your Hut,小屋を掃除する
MudWorkingTools_Completed_ObjectiveDescription,Mud Working Tools,泥作業のツール
MudWorkingTools_Completed_OnCompleteActions[0].ActionName,Completed,完了
MudWorkingTools_Completed_Event_CardName,Mud Working Tools Complete,泥作業のツール　完了
MudWorkingTools_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
MudWorkingTools_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
MudWorkingTools_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
MudWorkingTools_Main_QuestTitle,Mud Working Tools,泥作業のツール
MudWorkingTools_Obj1_CraftAShovel_ObjectiveDescription,Craft a Shovel,ショベルを作る
MudWorkingTools_Obj2_CraftASieve_ObjectiveDescription,Craft a Sieve,ふるいを作る
MudWorkingTools_Obj3_CraftAMudBrickMold_ObjectiveDescription, Craft a Mud Brick Mold,泥レンガの型を作る
MudWorkingTools_Sub1_CraftAShovel_QuestTitle,Craft a Shovel,ショベルを作る
MudWorkingTools_Sub2_CraftASieve_QuestTitle,Craft a Sieve,ふるいを作る
MudWorkingTools_Sub3_CraftAMudBrickMold_QuestTitle, Craft a Mud Brick Mold,泥レンガの型を作る
PoultryFarming_Completed_ObjectiveDescription*,Poultry Farming,鳥の飼育
PoultryFarming_Completed_OnCompleteActions[0].ActionName*,Completed,完了
PoultryFarming_Completed_Event_CardName,Poultry Farming Complete,鳥の飼育　完了
PoultryFarming_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
PoultryFarming_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
PoultryFarming_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
PoultryFarming_Main_QuestTitle,Poultry Farming,鳥の飼育
PoultryFarming_Obj1_BuildAnEnclosureForYourHut_ObjectiveDescription,Build an Enclosure
PoultryFarming_Obj2_GetTheTrustOfAPartridgeHen_ObjectiveDescription,Get the Trust of a Partridge Hen,ヤマウズラの信用を得る
PoultryFarming_Obj3_BuildANestingBox_ObjectiveDescription,Build a Nesting Box,巣箱を作る
PoultryFarming_Obj4_HatchAPartridgeEgg_ObjectiveDescription,Hatch a Partridge Egg,ヤマウズラの卵を孵化する
PoultryFarming_Sub1_BuildAnEnclosureForYourHut_QuestTitle,Build an Enclosure
PoultryFarming_Sub2_GetTheTrustOfAPartridgeHen_QuestTitle,Get the Trust of a Partridge Hen,ヤマウズラの信用を得る
PoultryFarming_Sub3_BuildANestingBox_QuestTitle,Build a Nesting Box,巣箱を作る
PoultryFarming_Sub4_HatchAPartridgeEgg_QuestTitle,Hatch a Partridge Egg,ヤマウズラの卵を孵化する
Skinning_Completed_ObjectiveDescription*,Skinning,皮剥ぎ
Skinning_Completed_OnCompleteActions[0].ActionName*,Completed,完了
Skinning_Completed_Event_CardName*,Skinning Complete,皮剥ぎ　完了
Skinning_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
Skinning_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
Skinning_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
Skinning_Main_QuestTitle*,Skinning,皮剥ぎ
Skinning_Obj1_FleshASkin_ObjectiveDescription*,Flesh a Skin,皮を剥ぐ
Skinning_Obj2_WaitForAFleshedSkinToCure_ObjectiveDescription*,Wait for a Fleshed Skin to Cure,剥いだ皮が加工されるまで待つ
Skinning_Obj3_EquipSomeCuredSkinOrLeatherInYourBedForWarmth_ObjectiveDescription*,Equip some Cured Skin or Leather in your Bed for Warmth,加工した皮か革をベッドに付ける
Skinning_Sub1_FleshASkin_QuestTitle*,Flesh a Skin,皮を剥ぐ
Skinning_Sub2_WaitForAFleshedSkinToCure_QuestTitle*,Wait for a Fleshed Skin to Cure,剥いだ皮が加工されるまで待つ
Skinning_Sub3_EquipSomeCuredSkinOrLeatherInYourBedForWarmth_QuestTitle*,Equip some Cured Skin or Leather in your Bed for Warmth,加工した皮か革をベッドに付ける
SurvivingTheNight_Completed_ObjectiveDescription*,Surviving the Night,夜を生き延びる
SurvivingTheNight_Completed_OnCompleteActions[0].ActionName*,Completed,完了
SurvivingTheNight_Completed_Event_CardName*,Surviving the Night Complete,夜を生き延びる　完了
SurvivingTheNight_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
SurvivingTheNight_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
SurvivingTheNight_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
SurvivingTheNight_Main_QuestTitle*,Surviving the Night,夜を生き延びる
SurvivingTheNight_Obj1_WarmUpByTheFire_ObjectiveDescription*,Warm up by the Fire,火のそばで温まる
SurvivingTheNight_Obj2_AddFuelToTheFire_ObjectiveDescription*,Add Fuel to the Fire,火に燃料を入れる
SurvivingTheNight_Obj3_GoToSleepByUsingTheClock_ObjectiveDescription*,Go to Sleep by Using the Clock,時計を使って寝る
SurvivingTheNight_Obj4_ReachTheMorningLight_ObjectiveDescription*,Reach the Morning Light,日を迎える
SurvivingTheNight_Sub1_WarmByTheFire_QuestTitle*,Warm up by the Fire,火のそばで温まる
SurvivingTheNight_Sub2_AddFuelToTheFire_QuestTitle*,Add Fuel to the Fire,火に燃料を入れる
SurvivingTheNight_Sub3_GoToSleepByUsingTheClock_QuestTitle*,Go to Sleep by Using the Clock,時計を使って寝る
SurvivingTheNight_Sub4_ReachTheMorningLight_QuestTitle*,Reach the Morning Light,日を迎える
WillOWisp_Completed_ObjectiveDescription*,Follow the Wisp,ウィスプを追う
WillOWisp_Completed_OnCompleteActions[0].ActionName*,Completed,完了
WillOWisp_Completed_Event_CardName*,Follow the Wisp Completed,ウィスプを追う　完了
WillOWisp_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
WillOWisp_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
WillOWisp_DisplayConditions_OnCompleteActions[0].ActionName,Completed,　完了
WillOWisp_Main_QuestTitle*,Will O'Wisp,ウィスプを追う
WillOWisp_Obj1_FollowTheWisp_ObjectiveDescription*,Follow the Will O'Wisp,ウィスプを追う
WillOWisp_Sub1_FollowTheWisp_QuestTitle*,Follow the Will O'Wisp,ウィスプを追う
Woodcarving_Completed_ObjectiveDescription*,Woodcarving,木彫り
Woodcarving_Completed_OnCompleteActions[0].ActionName*,Completed,完了
Woodcarving_Completed_Event_CardName*,Woodcarving Complete,木彫り　完了
Woodcarving_Completed_Event_CardDescription*,Blueprints and Tasks Available,設計図とタスクが残ってる
Woodcarving_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
Woodcarving_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
Woodcarving_Main_QuestTitle*,Woodcarving,木彫り
Woodcarving_Obj1_ChopALogIntoPieces_ObjectiveDescription*,Chop a Log into Pieces,丸太をバラバラに切る
Woodcarving_Obj2_CarveAFigurine_ObjectiveDescription*,Carve a Figurine,フィギュアを彫る
Woodcarving_Obj3_CarveAShovel_ObjectiveDescription,Carve a Flute,ショベルを彫る
Woodcarving_Sub1_ChopALogIntoPieces_QuestTitle*,Chop a Log into Pieces,丸太をバラバラに切る
Woodcarving_Sub2_CarveAFigurine_QuestTitle*,Carve a Figurine,フィギュアを彫る
Woodcarving_Sub3_CarveAShovel_QuestTitle*,Carve a Flute,ショベルを彫る
WoodcuttingBasics_Completed_ObjectiveDescription*,Woodcutting Basics,初級伐採
WoodcuttingBasics_Completed_OnCompleteActions[0].ActionName*,Completed,完了
WoodcuttingBasics_Completed_Event_CardName*,Woodcutting Basics Complete,初級伐採　完了
WoodcuttingBasics_Completed_Event_CardDescription*,New Blueprints and Tasks Available.,新しい設計図とタスクが残ってる。
WoodcuttingBasics_Completed_Event_DismantleActions[0].ActionName*,Continue,続ける
WoodcuttingBasics_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,完了
WoodcuttingBasics_Main_QuestTitle*,Woodcutting Basics,初級伐採
WoodcuttingBasics_Obj1_ClearTheAreaForLeavesAndFirewood_ObjectiveDescription*,Clear the Area for Leaves & Firewood,葉と薪を集めて片付ける
WoodcuttingBasics_Obj2_GetEmbersFromALitFire_ObjectiveDescription*,Get Embers from a Lit Fire,火から残り火を取る
WoodcuttingBasics_Obj3_CraftAStoneAxe_ObjectiveDescription*,Craft a Stone Axe,石の斧
WoodcuttingBasics_Obj4_ChopSomeWoodWithTheAxe_ObjectiveDescription*,Drag the Axe onto Location Card to chop some Wood,斧を場所カードにドラッグして木を切る
WoodcuttingBasics_Obj5_CutDownASmallTree_ObjectiveDescription*,Cut down a Small Tree,小さい木を切る
WoodcuttingBasics_Sub1_ClearTheAreaForLeavesAndFirewood_QuestTitle*,Clear the Area for Leaves & Firewood,葉と薪を集めて片付ける
WoodcuttingBasics_Sub2_GetEmbersFromALitFire_QuestTitle*,Get Embers from a Lit Fire,火から残り火を取る
WoodcuttingBasics_Sub3_CraftAStoneAxe_QuestTitle*,Craft a Stone Axe,石の斧
WoodcuttingBasics_Sub4_ChopSomeWoodWithTheAxe_QuestTitle*,Drag the Axe onto Location Card to chop some Wood,斧を場所カードにドラッグして木を切る
WoodcuttingBasics_Sub5_CutDownASmallTree_QuestTitle*,Cut down a Small Tree,小さい木を切る
TQT_IntermediateGardening_Completed_ObjectiveDescription,Intermediate Gardening,中級ガーデニング
TQT_IntermediateGardening_Completed_OnCompleteActions[0].ActionName,Completed,完了
TQT_IntermediateGardening_Completed_Event_CardName,Intermediate Gardening Complete,中級ガーデニング　完了
TQT_IntermediateGardening_Completed_Event_CardDescription,Blueprints and Tasks Available,設計図とタスクが残ってる
TQT_IntermediateGardening_Completed_Event_DismantleActions[0].ActionName,Continue,続ける
TQT_IntermediateGardening_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完了
IntermediateGardening_Main_QuestTitle*,Intermediate Gardening,中級ガーデニング
TQT_IntermediateGardening_Obj1_BuildACompostBin_ObjectiveDescription,Build a Compost Bin,堆肥箱を作る
TQT_IntermediateGardening_Obj2_ProduceFertilizer_ObjectiveDescription,Produce Fertilizer,肥料を作る
TQT_IntermediateGardening_Obj3_CraftLeatherGloves_ObjectiveDescription,Craft Leather Gloves,革のグローブを作る
TQT_IntermediateGardening_Sub1_BuildACompostBin_QuestTitle,Build a Compost Bin,堆肥箱を作る
TQT_IntermediateGardening_Sub2_ProduceFertilizer_QuestTitle,Produce Fertilizer,肥料を作る
TQT_IntermediateGardening_Sub3_CraftLeatherGloves_QuestTitle,Craft Leather Gloves,革のグローブを作る
Tgr_GreaterMudlingSpawn_Actions[0].ActionName,Greater Mudling Spawn,グレートドロヌーのスポーン
Tgr_Pee_Actions[0].ActionName,You Peed Yourself,お漏らししてしまった
Tgr_Poop_Actions[0].ActionName,You Pooped Yourself,うんこを漏らしてしまった
Spice_Fat_SpiceName,Fat,脂
Spice_Fireroot_SpiceName,Fireroot,ファイヤールート
Spice_Frostleaf_SpiceName,Frostleaf,フロストリーフ
Spice_GarlicDry_SpiceName,Garlic,ニンニク
LQ_SpiritBadger_CardName,Badger Spirit,アナグマの精霊
LQ_SpiritBadger_CardDescription,"A personified manifestation of the essence of badgerkind. \n\nCan help you with foraging, give you courage and boost your immune system.","アナグマを擬人化したなにか。\n\n資源集め、勇気、免疫力をブーストする。"
LQ_SpiritBadger_LiquidSuffixName,(Badger),（アナグマ）
LQ_SpiritBadger_CardInteractions[0].ActionName,Bestial Resilience,獣的耐久力
LQ_SpiritBoar_CardName,Boar Spirit,イノシシの精霊
LQ_SpiritBoar_CardDescription,"A personified manifestation of the essence of boarkind. \n\nCan help you with foraging, give you strength and courage and boost your immune system.","イノシシを擬人化したなにか。\n\n資源集め、筋力、勇気がブーストされる。"
LQ_SpiritBoar_LiquidSuffixName,(Boar),（イノシシ）
LQ_SpiritBoar_CardInteractions[0].ActionName,Bestial Resilience,獣的耐久力
LQ_SpiritDarkness_CardName,Darkness Spirit,闇の精霊
LQ_SpiritDarkness_CardDescription,"A personified manifestation of the essence of darkness. \n\nCan help you perceive things in the dark, blind your foes and make you better at hiding.","闇を擬人化したなにか。\n\n闇の中の認識能力がブーストされ、身を隠すために敵の視力を落とすことができるようになる。"
LQ_SpiritDarkness_LiquidSuffixName,(Darkness),（闇）
LQ_SpiritDeer_CardName,Deer Spirit,鹿の精霊
LQ_SpiritDeer_CardDescription,"A personified manifestation of the essence of deerkind. \n\nCan help you stay alert, avoid ambushes, give you strength and boost your immune system.","鹿を擬人化したなにか。\n\n筋力、免疫力、注意力がブーストされ、待伏せされにくくなる。"
LQ_SpiritDeer_LiquidSuffixName,(Deer),（鹿）
LQ_SpiritDeer_CardInteractions[0].ActionName,Bestial Resilience,獣的耐久力
LQ_SpiritEarth_CardName,Earth Spirit,地の精霊
LQ_SpiritEarth_CardDescription,"A personified manifestation of the essence of the earth. \n\nCan help bless your gardens and fields, heal your crops and restore the wilderness around you.","地を擬人化したなにか。\n\nガーデンと畑が祝福を受ける。育てている作物と周囲の自然を回復してくれる。"
LQ_SpiritEarth_LiquidSuffixName,(Earth),（地）
LQ_SpiritEarth_CardInteractions[0].ActionName,Awaken the Sleeping Tree,眠る木を起こす
LQ_SpiritEarth_CardInteractions[1].ActionName,Heal Plant,植物を回復する
LQ_SpiritEarth_CardInteractions[2].ActionName,Remove Overgrowth,雑草を刈る
LQ_SpiritFear_CardName,Fear Spirit,恐怖の精霊
LQ_SpiritFear_LiquidSuffixName,(Fear),（恐怖）
LQ_SpiritFear_CardInteractions[0].ActionName,Call Nightmare,悪夢を呼ぶ
LQ_SpiritFire_CardName,Fire Spirit,炎の精霊
LQ_SpiritFire_CardDescription,"A personified manifestation of the essence of fire. \n\nCan help start and feed fires as well as heal you and protect you with its warmth.","炎を擬人化したなにか。\n\n火を起こしたり、大きくしたりできる。体を温めることも回復してくれることもできる。"
