﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},Чрезвычайно {0}
BedLog_DismantleActions[0].StatInterruptions[8].Notification,I can't sleep in the middle of a storm!,Я не могу спать посреди шторма!
BedLog_DismantleActions[0].StatInterruptions[9].Notification,I need to Pee!,Мне нужно в туалет!
BedLog_DismantleActions[0].StatInterruptions[10].Notification,I really need to Pee!,Мне действительно нужно в туалет!
BedLog_DismantleActions[0].StatInterruptions[11].Notification,I really need to Poop!,Мне действительно нужно в туалет по-большому!
BedLog_DismantleActions[0].FadeMessage,Taking a nap...,Дремлю...
BedLog_DismantleActions[1].ActionName,Sleep,Спать
BedLog_DismantleActions[1].StatInterruptions[0].Notification,Its flooding!,Наводнение!
BedLog_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Я слишком хочу пить, чтобы спать..."
BedLog_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
BedLog_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
BedLog_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
BedLog_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
BedLog_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
BedLog_DismantleActions[1].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Я не могу спать посреди шторма!
BedLog_DismantleActions[1].StatInterruptions[8].Notification,I really need to Pee!,Мне действительно нужно в туалет!
BedLog_DismantleActions[1].StatInterruptions[9].Notification,I really need to Poop!,Мне действительно нужно в туалет по-большому!
BedLog_DismantleActions[1].FadeMessage,Sleeping...,Сплю...
BedLog_DismantleActions[2].ActionName,Dismantle,Разобрать
BedRoll_CardName,Bedroll,Спальный Мешок
BedRoll_CardDescription,"A portable bed. Increases wellbeing, focus and insulation while sleeping on it.","Переносная кровать. Повышает благополучие, концентрацию и изоляцию во время сна."
BedRoll_DismantleActions[0].ActionName,Nap,Дремать
BedRoll_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Я слишком хочу пить, чтобы спать..."
BedRoll_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
BedRoll_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
BedRoll_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
BedRoll_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
BedRoll_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
BedRoll_DismantleActions[0].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Я не могу спать посреди шторма!
BedRoll_DismantleActions[0].FadeMessage,Taking a nap...,Дремлю...
BedRoll_DismantleActions[1].ActionName,Sleep,Спать
BedRoll_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Я слишком хочу пить, чтобы спать..."
BedRoll_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
BedRoll_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
BedRoll_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
BedRoll_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
BedRoll_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
BedRoll_DismantleActions[1].StatInterruptions[7].Notification,I can't sleep in the middle of a storm!,Я не могу спать в середине шторма!
BedRoll_DismantleActions[1].FadeMessage,Sleeping...,Сплю...
BedRoll_DismantleActions[2].ActionName,Dismantle,Разобрать
BedWooden_CardName,Wooden Bed,Деревянная Кровать
BedWooden_CardDescription,"Increases comfort, and raises wellbeing, focus and insulation while sleeping on it.","Увеличивает комфорт, улучшает самочувствие, концентрацию и изоляцию во время сна на ней."
BedWooden_DismantleActions[0].ActionName,Nap,Дремать
BedWooden_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Мне слишком хочется пить, чтобы спать..."
BedWooden_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
BedWooden_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
BedWooden_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
BedWooden_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
BedWooden_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
BedWooden_DismantleActions[0].StatInterruptions[7].Notification,I really need to Pee!,Мне действительно нужно в туалет!
BedWooden_DismantleActions[0].StatInterruptions[8].Notification,I really need to Poop!,Мне действительно нужно в туалет!
BedWooden_DismantleActions[0].FadeMessage,Taking a nap...,Дремлю...
BedWooden_DismantleActions[1].ActionName,Sleep,Сон
BedWooden_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Мне слишком хочется пить, чтобы спать..."
BedWooden_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
BedWooden_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
BedWooden_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
BedWooden_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
BedWooden_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
BedWooden_DismantleActions[1].StatInterruptions[7].Notification,I really need to Pee!,Мне действительно нужно в туалет!
BedWooden_DismantleActions[1].StatInterruptions[8].Notification,I really need to Poop!,Мне действительно нужно в туалет!
BedWooden_DismantleActions[1].FadeMessage,Sleeping...,Сплю...
BedWooden_DismantleActions[2].ActionName,Take apart and Pick Up,Разобрать и Забрать
BedWoodenDismantled_CardName,Dismantled Wooden Bed,Разобранная Деревянная Кровать
BedWoodenDismantled_CardDescription,"Increases comfort, and raises wellbeing, focus and insulation while sleeping on it.","Увеличивает комфорт, улучшает самочувствие, концентрацию и изоляцию во время сна на ней."
BedWoodenDismantled_DismantleActions[0].ActionName,Place,Разместить
Bookshelf_CardName,Bookshelf,Книжная Полка
Bookshelf_CardDescription,Useful for storing items or displaying decorations for additional comfort. Keeps food fresh longer and provides comfort.,Полезна для хранения предметов или демонстрации украшений для дополнительного комфорта. Сохраняет еду свежей дольше и обеспечивает комфорт.
Bookshelf_DismantleActions[0].ActionName,Dismantle,Разобрать
Bookshelf_DismantleActions[1].ActionName,Take apart and Pick Up,Разобрать и Забрать
BookShelfDismantled_CardName,Dismantled BookShelf,Разобранная Книжная Полка
BookShelfDismantled_CardDescription,Useful for storing items or displaying decorations for additional comfort. Keeps food fresh longer and provides comfort.,Полезна для хранения предметов или демонстрации украшений для дополнительного комфорта. Сохраняет еду свежей дольше и обеспечивает комфорт.
BookShelfDismantled_DismantleActions[0].ActionName,Place,Разместить
Chair_CardName,Chair,Стул
Chair_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает в ремесле.
Chair_DismantleActions[0].ActionName,Place,Разместить
ChairPlaced_CardName,Chair,Стул
ChairPlaced_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает в ремесле.
ChairPlaced_DismantleActions[0].ActionName,Rest,Отдых
ChairPlaced_DismantleActions[0].FadeMessage,Waiting...,Ожидание...
ChairPlaced_DismantleActions[1].ActionName,Meditate,Медитация
ChairPlaced_DismantleActions[1].FadeMessage,Resting...,Отдыхаю...
ChairPlaced_DismantleActions[2].ActionName,Meditate,Медитировать
ChairPlaced_DismantleActions[2].FadeMessage,Resting...,Отдых...
ChairPlaced_DismantleActions[3].ActionName,Pick Up,Подобрать
ImprovisedShelter_CardName,Improvised Shelter,Самодельное Убежище
ImprovisedShelter_CardDescription,"Offers some protection against the elements. Increases wellbeing, focus and insulation while sleeping on it.\n\nAdd blankets, skins or bedding materials for an improved effect.","Предлагает некоторую защиту от непогоды. Увеличивает благополучие, концентрацию и изоляцию во время сна на нем.\n\nДобавьте одеяла, шкуры или постельные принадлежности для улучшенного эффекта."
ImprovisedShelter_CardInteractions[0].ActionName,Repair Shelter,Починить Убежище
ImprovisedShelter_DismantleActions[0].ActionName,Nap,Дремать
ImprovisedShelter_DismantleActions[0].StatInterruptions[0].Notification,Its flooding!,Наводнение!
ImprovisedShelter_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Я слишком хочу пить, чтобы спать..."
ImprovisedShelter_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
ImprovisedShelter_DismantleActions[0].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
ImprovisedShelter_DismantleActions[0].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
ImprovisedShelter_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
ImprovisedShelter_DismantleActions[0].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
ImprovisedShelter_DismantleActions[0].StatInterruptions[7].Notification,I really need to Pee!,Мне очень нужно в туалет!
ImprovisedShelter_DismantleActions[0].StatInterruptions[8].Notification,I really need to Poop!,Мне очень нужно в туалет!
ImprovisedShelter_DismantleActions[0].FadeMessage,Taking a nap...,Дрема...
ImprovisedShelter_DismantleActions[1].ActionName,Sleep,Сон
ImprovisedShelter_DismantleActions[1].StatInterruptions[0].Notification,Its flooding!,Наводнение!
ImprovisedShelter_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,"Я слишком хочу пить, чтобы спать..."
ImprovisedShelter_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,"Мне слишком жарко, чтобы спать..."
ImprovisedShelter_DismantleActions[1].StatInterruptions[3].Notification,I'm too cold to sleep...,"Мне слишком холодно, чтобы спать..."
ImprovisedShelter_DismantleActions[1].StatInterruptions[4].Notification,I'm losing too much blood...,Я теряю слишком много крови...
ImprovisedShelter_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,Мне нехорошо...
ImprovisedShelter_DismantleActions[1].StatInterruptions[6].Notification,I'm not feeling well...,Мне нехорошо...
ImprovisedShelter_DismantleActions[1].StatInterruptions[7].Notification,I really need to Pee!,Мне очень нужно в туалет!
ImprovisedShelter_DismantleActions[1].StatInterruptions[8].Notification,I really need to Poop!,Мне очень нужно в туалет!
ImprovisedShelter_DismantleActions[1].FadeMessage,Sleeping...,Сон...
ImprovisedShelter_DismantleActions[2].ActionName,Deconstruct,Разобрать
OakLogPiecePlacedStool_CardName,Log Stool,Бревенчатый Табурет
OakLogPiecePlacedStool_CardDescription,An improvised stool. Increases comfort and helps you with crafting.,Самодельный табурет. Увеличивает комфорт и помогает в ремесле.
OakLogPiecePlacedStool_DismantleActions[0].ActionName,Rest,Отдыхать
OakLogPiecePlacedStool_DismantleActions[0].FadeMessage,Waiting...,Ожидание...
OakLogPiecePlacedStool_DismantleActions[1].ActionName,Relax,Расслабиться
OakLogPiecePlacedStool_DismantleActions[1].FadeMessage,Relaxing...,Расслабление...
OakLogPiecePlacedStool_DismantleActions[2].ActionName,Meditate,Медитировать
OakLogPiecePlacedStool_DismantleActions[2].FadeMessage,Meditating...,Медитация...
OakLogPiecePlacedStool_DismantleActions[4].ActionName,Meditate,Медитировать
OakLogPiecePlacedStool_DismantleActions[3].FadeMessage,Meditating...,Медитация...
OakLogPiecePlacedStool_DismantleActions[3].ActionName,Pick Up,Подобрать
RusticTable_CardName,Rustic Table,Деревенский Стол
RusticTable_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает в ремесле.
RusticTable_DismantleActions[0].ActionName,Take apart and pick up,Разобрать и подобрать
RusticTableDismantled_CardName,Dismantled Rustic Table,Разобранный Деревенский Стол
RusticTableDismantled_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает в ремесле.
RusticTableDismantled_DismantleActions[0].ActionName,Build,Строить
Shelf_CardName,Shelf,Полка
Shelf_CardDescription,Useful for storing items or displaying decorations for additional comfort. Keeps food fresh longer and provides comfort.,Полезно для хранения предметов или демонстрации украшений для дополнительного комфорта. Сохраняет еду свежей дольше и обеспечивает комфорт.
Shelf_DismantleActions[0].ActionName,Dismantle,Разобрать
Stool_CardName,Rustic Stool,Деревенский Табурет
Stool_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает вам с ремеслом.
Stool_DismantleActions[0].ActionName,Place,Разместить
StoolPlaced_CardName,Rustic Stool,Деревенский Табурет
StoolPlaced_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает вам с ремеслом.
StoolPlaced_DismantleActions[0].ActionName,Rest,Отдых
StoolPlaced_DismantleActions[0].FadeMessage,Waiting...,Ожидание...
StoolPlaced_DismantleActions[1].ActionName,Meditate,Медитация
StoolPlaced_DismantleActions[1].FadeMessage,Resting...,Отдых...
StoolPlaced_DismantleActions[2].ActionName,Meditate,Медитация
StoolPlaced_DismantleActions[2].FadeMessage,Resting...,Отдых...
StoolPlaced_DismantleActions[3].ActionName,Pick Up,Подобрать
Table_CardName,Table,Стол
Table_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает вам с ремеслом.
Table_DismantleActions[0].ActionName,Take apart and Pick Up,Разобрать и Подобрать
TableDismantled_CardName,Dismantled Table,Разобранный Стол
TableDismantled_CardDescription,Increases comfort and helps you with crafting.,Увеличивает комфорт и помогает вам с ремеслом.
TableDismantled_DismantleActions[0].ActionName,Build,Построить
DeadfallTrap_CardName,Deadfall Trap,Западня
DeadfallTrap_CardDescription,Useful for catching small prey. Needs bait to work.\n\n<b>(changing bait resets trap)</b>,Полезно для ловли мелкой добычи. Нужна приманка для работы.\n\n<b>(смена приманки сбрасывает ловушку)</b>
DeadfallTrap_Progress.CardStatName,Flood Damage,Ущерб от наводнения
DeadfallTrap_DismantleActions[0].ActionName,Disassemble trap,Разобрать ловушку
DeadfallTrap_InventorySlotsText,PLACE BAIT HERE,ПОМЕСТИТЬ ПРИМАНКУ ЗДЕСЬ
DeadfallTrap_CookingRecipes[0].ActionName,Catch Prey,Поймать Добычу
DeadfallTrap_CookingRecipes[0].CustomNotification,Trap Triggered!,Ловушка Сработала!
DeadfallTrapTriggered_CardName,Deadfall Trap,Западня
DeadfallTrapTriggered_CardDescription,Needs to be rearmed before I can be used again.,"Нужно перезарядить, прежде чем я смогу использовать снова."
DeadfallTrapTriggered_Progress.CardStatName,Flood Damage,Ущерб от наводнения
DeadfallTrapTriggered_DismantleActions[0].ActionName,Rearm Trap,Перезарядить Ловушку
DeadfallTrapTriggered_DismantleActions[1].ActionName,Disassemble trap,Разобрать ловушку
DeadfallTrapTriggered_InventorySlotsText,PLACE BAIT HERE,ПОМЕСТИТЬ ПРИМАНКУ ЗДЕСЬ
LogTrap_CardName,Log Trap,Бревенчатая Ловушка
LogTrap_CardDescription,Useful for catching large prey. Needs bait to work.\n\n<b>(changing bait resets trap)</b>,Полезно для ловли крупной добычи. Нужна приманка для работы.\n\n<b>(смена приманки сбрасывает ловушку)</b>
LogTrap_DismantleActions[0].ActionName,Disassemble trap,Разобрать ловушку
LogTrap_InventorySlotsText,PLACE BAIT HERE,ПОМЕСТИТЬ ПРИМАНКУ ЗДЕСЬ
LogTrap_CookingRecipes[0].ActionName,Catch Herbivore,Поймать Травоядное
LogTrap_CookingRecipes[0].CustomNotification,Trap Triggered!,Ловушка Сработала!
LogTrap_CookingRecipes[1].ActionName,Catch Herbivore or Omnivore,Поймать Травоядное или Всеядное
LogTrap_CookingRecipes[1].CustomNotification,Trap Triggered!,Ловушка Сработала!
LogTrap_CookingRecipes[2].ActionName,Catch Carnivore or Omnivore,Поймать Плотоядное или Всеядное
LogTrap_CookingRecipes[2].CustomNotification,Trap Triggered!,Ловушка Сработала!
LogTrapTriggered_CardName,Log Trap,Бревенчатая Ловушка
LogTrapTriggered_CardDescription,Needs to be rearmed before I can be used again.,"Нужно перезарядить, прежде чем я смогу использовать снова."
LogTrapTriggered_DismantleActions[0].ActionName,Rearm Trap,Перезарядить Ловушку
LogTrapTriggered_DismantleActions[1].ActionName,Disassemble trap,Разобрать ловушку
LogTrapTriggered_InventorySlotsText,PLACE BAIT HERE,ПОМЕСТИТЬ ПРИМАНКУ ЗДЕСЬ
ImprovedSnareTrap_CardName,Snare Trap,Петля
SnareTrap_CardDescription,Useful for catching medium-sized prey. Needs bait to work.\n\n<b>(changing bait resets trap)</b>,Полезно для ловли добычи среднего размера. Нужна приманка для работы.\n\n<b>(смена приманки сбрасывает ловушку)</b>
ImprovedSnareTrap_DismantleActions[0].ActionName,Disassemble trap,Разобрать ловушку
ImprovedSnareTrap_InventorySlotsText,PLACE BAIT HERE,ПОМЕСТИТЬ ПРИМАНКУ ЗДЕСЬ
ImprovedSnareTrap_CookingRecipes[0].ActionName,Catch Herbivore or Omnivore,Поймать Травоядное или Всеядное
ImprovedSnareTrap_CookingRecipes[0].CustomNotification,Trap Triggered!,Ловушка Сработала!
ImprovedSnareTrap_CookingRecipes[1].ActionName,Catch Omnivore or Carnivore,Поймать Всеядное или Плотоядное
ImprovedSnareTrap_CookingRecipes[1].CustomNotification,Trap Triggered!,Ловушка Сработала!
ImprovedSnareTrapTriggered_CardName,Snare Trap,Петля-Ловушка
SnareTrapTriggered_CardDescription,Needs to be rearmed before I can be used again.,"Нужно перезарядить, прежде чем я смогу снова использовать."
ImprovedSnareTrapTriggered_DismantleActions[0].ActionName,Rearm Trap,Перезарядить Ловушку
ImprovedSnareTrapTriggered_DismantleActions[1].ActionName,Disassemble trap,Разобрать ловушку
ImprovedSnareTrapTriggered_InventorySlotsText,PLACE BAIT HERE,РАЗМЕСТИТЕ ПРИМАНКУ ЗДЕСЬ
Brushwood_rename_CardName,BrushWood,Хворост
Brushwood_rename_DismantleActions[0].ActionName,Harvest,Собрать
Brushwood_rename_DismantleActions[1].ActionName,Harvest,Собрать
Brushwood_rename_DismantleActions[2].ActionName,Harvest,Собрать
CagePlaced_CardName,Cage,Клетка
CagePlaced_CardDescription,Can keep small live animals locked inside. \n\nIf an animal is left inside it can be used to lure others of its species.,"Может удерживать маленьких живых животных внутри. \n\nЕсли животное оставлено внутри, оно может быть использовано для привлечения других особей своего вида."
CagePlaced_DismantleActions[0].ActionName,Pick Up,Подобрать
CagePlaced_InventorySlotsText,PLACE BAIT HERE,РАЗМЕСТИТЕ ПРИМАНКУ ЗДЕСЬ
ClayBarrow_CardName,Clay Barrow,Глиняная Тележка
ClayBarrow_CardInteractions[0].ActionName,Dig Up Clay,Выкопать Глину
ClayBarrow_DismantleActions[0].ActionName,Dig up Clay,Выкопать Глину
DriedOutWell_CardName,Dried out well,Высохший колодец
DriedOutWell_CardDescription,Water inside well dried out. ,Вода в колодце высохла.
DriedOutWell_DismantleActions[0].ActionName,Climb down the Rope,Спуститься по Веревке
DriedOutWell_DismantleActions[0].FadeMessage,Entering the Wildwoods....,Вход в Дикий Лес....
DryingRack_CardName,Drying Rack,Сушилка
DryingRack_CardDescription,I can hang vegetables and meat to dry here.,Я могу повесить здесь овощи и мясо для сушки.
DryingRack_DismantleActions[0].ActionName,Dissasemble,Разобрать
DryingRack_CookingRecipes[1].ActionName,Putrefaction Quick Dryable,Быстрая Сушка Гниения
FlintVein_CardName,Flint vein,Кремнистая жила
FlintVein_CardDescription,Can be mined for flint.,Можно добывать кремень.
FlintVein_CardInteractions[0].ActionName,Mine,Шахта
FlintVein_CardInteractions[1].ActionName,Mine,Шахта
FrozenRiver_CardName,Frozen River,Замерзшая Река
FrozenRiver_CardDescription,Should open a hole on it with a hammer tool to get water or fish.,"Следует сделать отверстие в ней с помощью молотка, чтобы получить воду или рыбу."
FrozenRiver_CardInteractions[0].ActionName,Dig Up Dirt,Выкопать Грязь
FrozenRiver_CardInteractions[1].ActionName,Create Ice Hole,Создать Ледяное Отверстие
FrozenRiver_DismantleActions[0].ActionName,Dig up Dirt,Выкопать Грязь
FrozenRiver_DismantleActions[1].ActionName,Gaze at Water,Смотреть на Воду
GardenPlot_CardName,Garden Plot,Грядка
GardenPlot_CardDescription,"Plants and mushrooms can grow here, provided they have the right level of acidity, nutrition and hydration.\n\nExcessive fertilizing can lead to mites, and excessive hydration to fungus. Inspecting your gardens often can help your plants grow stronger.","Растения и грибы могут расти здесь, если у них правильный уровень кислотности, питательных веществ и увлажнения.\n\nЧрезмерное удобрение может привести к появлению клещей, а чрезмерное увлажнение к грибку. Частая проверка ваших садов может помочь вашим растениям расти сильнее."
GardenPlot_CardHelpSection,<b>Basics: </b>Add water to hydrate it and fertilizer to enrich it. \n\n<b>Acidity: </b>Add dry leaves to increase acidity or ash to lower it.\n\n<b>Pests: </b>Garlic Water can help treat fungus and firewater can help with mites.,"<b>Основы: </b>Добавьте воду для увлажнения и удобрение для обогащения. \n\n<b>Кислотность: </b>Добавьте сухие листья для увеличения кислотности или золу для её снижения.\n\n<b>Вредители: </b>Чесночная Вода может помочь в лечении грибка, а огненная вода может помочь с клещами."
GardenPlot_SpoilageTime.CardStatName,Nutrients,Питательные вещества
GardenPlot_UsageDurability.CardStatName,Acidity,Кислотность
GardenPlot_FuelCapacity.CardStatName,Hydration,Увлажнение
GardenPlot_Progress.CardStatName,Care,Уход
GardenPlot_SpecialDurability1.CardStatName,Pesticide - Mites,Пестицид - Клещи
GardenPlot_SpecialDurability2.CardStatName,Pesticide - Fungi,Пестицид - Грибки
GardenPlot_CardInteractions[0].ActionName,Water,Вода
GardenPlot_CardInteractions[1].ActionName,Apply Insecticide,Нанести Инсектицид
GardenPlot_CardInteractions[2].ActionName,Apply Fungicide,Нанести Фунгицид
GardenPlot_CardInteractions[3].ActionName,Acidify,Подкислить
GardenPlot_CardInteractions[4].ActionName,Neutralize,Нейтрализовать
GardenPlot_CardInteractions[5].ActionName,Add Weak Fertilizer,Добавить Слабое Удобрение
GardenPlot_CardInteractions[6].ActionName,Add Fertilizer,Добавить Удобрение
GardenPlot_DismantleActions[0].ActionName,Inspect Garden,Осмотреть Сад
GardenPlot_DismantleActions[2].ActionName,Destroy Garden,Уничтожить Сад
GardenPlot_CookingRecipes[1].CannotCookText,Needs Care,Нужен Уход
GardenPlot_CookingRecipes[2].CannotCookText,Needs Care,Нужен Уход
GreaterMudling_CardName,Greater Mudling,Большой Грязевик
GreaterMudling_CardDescription,Greater Mudling,Большой Грязевик
Hideout_CardName,Hideout,Убежище
Hideout_CardInteractions[0].ActionName,Repair,Ремонт
Hideout_DismantleActions[0].ActionName,Nap,Дремать
IceHole_CardName,Ice Hole,Лунка во Льду
IceHole_CardDescription,Could try to get some fish with the right equipment.,Можно попробовать поймать рыбу с подходящим оборудованием.
IceHole_SpoilageTime.CardStatName,Spoilage,Порча
IceHole_SpoilageTime.OnZero.ActionDescription,Ice Hole has closed,Лунка во Льду закрылась
IceHole_CardInteractions[1].ActionName,Fill,Наполнить
IceHole_CardInteractions[2].ActionName,Wash,Помыть
IceHole_CardInteractions[3].ActionName,Extend,Расширить
IceHole_DismantleActions[0].ActionName,Drink,Пить
IceHole_DismantleActions[1].ActionName,Wash yourself,Помыться
IceHole_DismantleActions[2].ActionName,Gaze at Water,Смотреть на Воду
InvisibleLocationEnricher_UsageDurability.CardStatName,Nutrition,Питание
InvisibleLocationEnricher_FuelCapacity.CardStatName,Hydration,Гидратация
Mudling_CardName,Mudling,Грязевик
Mudling_CardDescription,Mudling,Грязевик
MushroomBed_CardName,Mushroom Bed,Грибная Грядка
MushroomBed_SpoilageTime.CardStatName,Nutrients,Питательные Вещества
MushroomBed_UsageDurability.CardStatName,Acidity,Кислотность
MushroomBed_FuelCapacity.CardStatName,Hydration,Гидратация
MushroomBed_Progress.CardStatName,Care,Уход
MushroomBed_SpecialDurability1.CardStatName,Pesticide - Mites,Пестицид - Клещи
MushroomBed_SpecialDurability2.CardStatName,Pesticide - Fungi,Пестицид - Грибы
MushroomBed_CardInteractions[0].ActionName,Water,Вода
MushroomBed_CardInteractions[1].ActionName,Apply Insecticide,Нанести Инсектицид
MushroomBed_CardInteractions[2].ActionName,Apply Fungicide,Нанести Фунгицид
MushroomBed_CardInteractions[3].ActionName,Acidify,Подкислить
MushroomBed_CardInteractions[4].ActionName,Neutralize,Нейтрализовать
MushroomBed_CardInteractions[5].ActionName,Add Weak Fertilizer,Добавить Слабое Удобрение
MushroomBed_CardInteractions[6].ActionName,Add Fertilizer,Добавить Удобрение
MushroomBed_DismantleActions[0].ActionName,Inspect,Осмотреть
MushroomBed_DismantleActions[1].ActionName,Inspect,Осмотреть
MushroomBed_CookingRecipes[0].CannotCookText,Needs Care,Нужен Уход
MushroomBed_CookingRecipes[1].CannotCookText,Needs Care,Нужен Уход
Puddle_CardName,Dry Puddle,Сухая Лужа
Puddle_CardDescription,A natural water reserve.,Естественный водный резервуар.
Puddle_FuelCapacity.CardStatName,Mosquito Protection,Защита от Комаров
Puddle_Progress.OnZero.ActionName,Vanish,Исчезнуть
Puddle_CardInteractions[0].ActionName,Dig Up Mud,Выкопать Грязь
Puddle_CardInteractions[1].ActionName,Dig Up Dirt,Выкопать Землю
Puddle_CardInteractions[2].ActionName,Mosquito Protection,Защита от Комаров
Puddle_DismantleActions[0].ActionName,Dig up Mud,Выкопать Грязь
Puddle_DismantleActions[1].ActionName,Dig up Dirt,Выкопать Землю
River_CardName,River,Река
River_CardDescription,"A wide river with a strong current. Could swim in it to relax and unwind, or try to catch some fish with the right equipment.","Широкая река с сильным течением. Можно поплавать в ней, чтобы расслабиться и отдохнуть, или попытаться поймать рыбу с подходящим оборудованием."
River_CardInteractions[0].ActionName,Dig Up Mud,Выкопать Грязь
River_CardInteractions[1].ActionName,Fish,Рыба
River_CardInteractions[1].ProducedCards[0].CollectionMessages[0],No luck...,Не повезло...
River_CardInteractions[7].ActionName,Spearfish,Ловля Рыбы с Гарпуном
River_CardInteractions[2].ActionName,Fill,Наполнить
River_CardInteractions[3].ActionName,Soak Nettle Stems,Замочить Стебли Крапивы
River_CardInteractions[4].ActionName,Soak Reeds,Замочить Тростник
River_CardInteractions[5].ActionName,Wash,Помыть
River_CardInteractions[6].ActionName,Wash the Dressing,Помыть Повязку
River_OnStatsChangeActions[0].ActionName,Freeze,Заморозить
River_DismantleActions[0].ActionName,Drink,Выпить
River_DismantleActions[1].ActionName,Swim,Плавать
River_DismantleActions[2].ActionName,Wash yourself,Помыться
River_DismantleActions[3].ActionName,Dig up Mud,Выкопать Грязь
River_DismantleActions[4].ActionName,Gaze at Water,Смотреть на Воду
SnowMan_CardName,Snowman,Снеговик
SnowMan_CardDescription,An ephemeral work of art.,Эфемерное произведение искусства.
SnowMan_CardInteractions[0].ActionName,Repair,Починить
SnowMan_DismantleActions[0].ActionName,Destroy,Уничтожить
SpiritShrine_Earth_SpiritMound_CardName,Sacred Oak,Священный Дуб
SpiritShrine_Earth_SacredOak_CardDescription,An ancient oak. There's something special about it.,Древний дуб. В нем есть что-то особенное.
SpiritShrine_Earth_SacredOak_Progress.OnZero.ActionDescription,Tree Down!,Дерево Повалено!
SpiritShrine_Earth_SacredOak_Progress.OnFull.ActionDescription,Tree Down!,Дерево Повалено!
