MORE_THAN_STRONG_FLAVOUR,Extremely {0},Чрезвычайно {0}
Pk_4_VeryShort_PerkName,Very Short Stature,Малыш
Pk_4_VeryShort_PerkDescription,"Dramatically decreases your size and combat reach, decreases caloric needs and enhances stealth capabilities.","Резко уменьшает ваш размер и боевой радиус, снижает потребность в калориях и улучшает способности к скрытности."
Pk_4_VeryTall_PerkName,Very Tall Stature,Великан
Pk_4_VeryTall_PerkDescription,"Dramatically increases your size and combat reach, reduces stealth, and raises your caloric needs.","Резко увеличивает ваш размер и боевой радиус, снижает скрытность и увеличивает потребность в калориях."
Pk_5_Emaciated_PerkName,Very Low Weight,Тощий
Pk_5_Emaciated_PerkDescription,"Drastically reduces your body weight, compromising your immune system, energy levels and insulation. Leaves you a few weeks away from death without adequate nutrition.","Резко снижает ваш вес, ухудшая иммунную систему, уровень энергии и теплоизоляцию. Оставляет вас в нескольких неделях от смерти без адекватного питания."
Pk_5_Obese_PerkName,Very High Weight,Пухлый
Pk_5_Obese_PerkDescription,"Significantly increases your body weight, boosting fat reserves and insulation but reducing stamina and mobility.","Значительно увеличивает ваш вес, увеличивая запасы жира и теплоизоляцию, но снижая выносливость и подвижность."
Pk_5_Overweight_PerkName,High Weight,Упитанный
Pk_5_Overweight_PerkDescription,"Increases your body weight, slightly boosting fat reserves and insulation while reducing your stamina by a small amount.","Увеличивает ваш вес, слегка увеличивая запасы жира и теплоизоляцию, при этом немного снижая выносливость."
Pk_5_Underweight_PerkName,Low Weight,Стройный
Pk_5_Underweight_PerkDescription,"Reduces your body weight, lowering fat reserves and slightly impairing your immune system and thermal insulation.","Уменьшает ваш вес, снижая запасы жира и слегка ухудшая иммунную систему и теплоизоляцию."
Pk_3_3_Athletic_PerkName,Athletic,Атлет
Pk_3_3_Athletic_PerkDescription,"You start with very high fitness levels, dramatically increasing your stamina and energy levels.","Вы начинаете с очень высоким уровнем физической подготовки, значительно увеличивая вашу выносливость и уровень энергии."
Pk_3_3_Fit_PerkName,Fit,Крепыш
Pk_3_3_Fit_PerkDescription,"You start with high fitness levels, increasing your stamina and energy levels.","Вы начинаете с высоким уровнем физической подготовки, увеличивая вашу выносливость и уровень энергии."
Pk_3_3_Sedentary_PerkName,Sedentary,Слабак
Pk_3_3_Sedentary_PerkDescription,"You start with low fitness levels, decreasing your stamina and energy levels.","Вы начинаете с низким уровнем физической подготовки, снижая вашу выносливость и уровень энергии."
Pk_3_4_DarkSkin_PerkName,Dark Skin,Темная Кожа
Pk_3_4_DarkSkin_PerkDescription,"Makes it harder to get sunlight in conditions like cloudy weather, but makes you less susceptible to sun damage.","Усложняет получение солнечного света в условиях, таких как облачная погода, но делает вас менее восприимчивым к солнечным повреждениям."
Pk_3_4_LightSkin_PerkName,Light Skin,Светлая Кожа
Pk_3_4_LightSkin_PerkDescription,"Makes it easier to get sunlight in cloudy weather, but makes you more susceptible to sun damage.","Упрощает получение солнечного света в облачную погоду, но делает вас более восприимчивым к солнечным повреждениям."
Pk_3_4_VeryDarkSkin_PerkName,Very Dark Skin,Очень Темная Кожа
Pk_3_4_VeryDarkSkin_PerkDescription,"Makes it significantly harder to get sunlight in cloudy weather, but makes you considerably less susceptible to sun damage.","Значительно усложняет получение солнечного света в облачную погоду, но делает вас значительно менее восприимчивым к солнечным повреждениям."
Pk_3_4_VeryLightSkin_PerkName,Very Light Skin,Очень Светлая Кожа
Pk_3_4_VeryLightSkin_PerkDescription,"Makes it significantly easier to get sunlight in cloudy weather, but makes you considerably more susceptible to sun damage.","Значительно упрощает получение солнечного света в облачную погоду, но делает вас значительно более восприимчивым к солнечным повреждениям."
Pk_3_5_DarkHair_PerkName,Dark Hair,Темные Волосы
Pk_3_5_DarkHair_PerkDescription,"Makes it slightly harder to get sunlight in cloudy weather, but makes you less susceptible to sun damage.","Слегка усложняет получение солнечного света в облачную погоду, но делает вас менее восприимчивым к солнечным повреждениям."
Pk_3_5_LightHair_PerkName,Light Hair,Светлые Волосы
Pk_3_5_LightHair_PerkDescription,"Makes it slightly easier to get sunlight in cloudy weather, but makes you more susceptible to sun damage.","Слегка упрощает получение солнечного света в облачную погоду, но делает вас более восприимчивым к солнечным повреждениям."
Pk_3_6_DarkEyes_PerkName,Dark Eyes,Темные Глаза
Pk_3_6_DarkEyes_PerkDescription,Improves your sight in bright light environments.,Улучшает ваше зрение в условиях яркого освещения.
Pk_3_6_LightEyes_PerkName,Light Eyes,Светлые Глаза
Pk_3_6_LightEyes_PerkDescription,Improves your sight in low light conditions.,Улучшает ваше зрение в условиях низкой освещенности.
Pk_99_Optimist_PerkName,Optimistic,Оптимист
Pk_99_Optimist_PerkDescription,Makes it easier to keep your morale high.,Упрощает поддержание высокого морального духа.
Pk_99_Pessimistic_PerkName,Pessimistic,Пессимист
Pk_99_Pessimistic_PerkDescription,Makes it harder to keep your morale high.,Усложняет поддержание высокого морального духа.
Pk_99_DownToEarth_PerkName,Down To Earth,Материалист
Pk_99_DownToEarth_PerkDescription,"Your robust, firm worldview makes you resistant to altered mind states.\n\n<b>Warning: Will make magic impossible.</b>","Ваш устойчивый, твердый взгляд на мир делает вас устойчивым к измененным состояниям сознания.\n\n<b>Предупреждение: сделает магию невозможной.</b>"
Pk_4_2_Spiritual_PerkName,Spiritual,Психонавт
Pk_4_2_Spiritual_PerkDescription,Your open minded and sensitive nature makes it easier for you to reach altered mind states. ,Ваш открытый и чувствительный характер упрощает достижение измененных состояний сознания.
Pk_4_3_Anxious_PerkName,Anxious,Тревожный
Pk_4_3_Anxious_PerkDescription,"You tend to get stressed more easily, but are also more alert, making you harder to surprise.","Вы склонны к Стрессу быстрее, но также более бдительны, что делает вас труднее удивить."
Pk_4_3_Carefree_PerkName,Carefree,Беззаботный
Pk_4_3_Carefree_PerkDescription,"You find it harder to get stressed, but are also less alert, making you easier to surprise.","Вам сложнее испытывать Стресс, но вы также менее бдительны, что делает вас легче удивить."
Pk_4_3_SingularFocus_PerkName,Singular Focus,Интроверт
Pk_4_3_SingularFocus_PerkDescription,"You are more likely to stay focused, even on repetitive tasks, but are less socially adept.","Вы с большей вероятностью останетесь сосредоточенными, даже на повторяющихся задачах, но менее социально адаптированы."
Pk_4_3_WanderingFocus_PerkName,Wandering Focus,Экстраверт
Pk_4_3_WanderingFocus_PerkDescription,You have trouble staying focused if you're not engaged but are more creative and get extra focus when working on interesting things.,"Вам трудно оставаться сосредоточенным, если вы не заинтересованы, но вы более креативны и получаете дополнительный фокус при работе над интересными вещами."
Pk_99_Brave_PerkName,Brave,Храбрый
Pk_99_Brave_PerkDescription,"Gives you courage, allowing you to perform scary actions and remain in combat for longer, but making you easier to surprise.","Дает вам смелость, позволяя совершать страшные действия и оставаться в бою дольше, но делает вас более уязвимым для сюрпризов."
Pk_4_4_Fainthearted_PerkName,Fainthearted,Трусливый
Pk_4_4_Fainthearted_PerkDescription,"You are less able to perform scary actions and have trouble remaining in combat, but are harder to surprise.","Вы менее способны совершать страшные действия и испытываете трудности с пребыванием в бою, но вас труднее удивить."
Pk_99_Loner_PerkName,Loner,Одиночка
Pk_99_Loner_PerkDescription,"You suffer less from the effects of loneliness, but get less value from interacting with others.","Вы меньше страдаете от одиночества, но получаете меньше пользы от взаимодействия с другими."
Pk_4_5_Social_PerkName,Social,Социальный
Pk_4_5_Social_PerkDescription,"You suffer more from the effects of loneliness, but get additional value from interacting with others.","Вы больше страдаете от одиночества, но получаете дополнительную пользу от взаимодействия с другими."
Pk_4_6_Creative_PerkName,Creative,Творческий
Pk_4_6_Creative_PerkDescription,Gain additional wellbeing when performing creative actions.,Получайте дополнительное Самочувствие при выполнении творческих действий.
Pk_4_6_Physical_PerkName,Physical,Трудяга
Pk_4_6_Physical_PerkDescription,Gain additional wellbeing when performing physically demanding actions.,Получайте дополнительное Самочувствие при выполнении физически сложных действий.
Pk_4_7_Resolute_PerkName,Resolute,Решительный
Pk_4_7_Resolute_PerkDescription,"You have a strong will, but are less trusting as a result and have more trouble getting along with others.","У вас сильная воля, но в результате вы менее доверчивы и испытываете больше трудностей в общении с другими."
Pk_4_7_Trusting_PerkName,Trusting,Доверчивый
Pk_4_7_Trusting_PerkDescription,"You are more trusting of others, making it easier to get along with them, at the cost of some autonomy.","Вы более доверчивы к другим, что облегчает общение с ними, но снижает некоторую автономию."
Pk_99_Feral_PerkName,Feral,Дикий
Pk_99_Feral_PerkDescription,"Makes you immune to bad smells, filth and general unsightliness.","Делает вас невосприимчивым к неприятным запахам, грязи и общей неопрятности."
Pk_4_8_Refined_PerkName,Refined,Изысканный
Pk_4_8_Refined_PerkDescription,"Makes you especially susceptible to bad smells, filth and general unsightliness.","Делает вас особенно восприимчивым к неприятным запахам, грязи и общей неопрятности."
Pk_4_9_MeatEater_PerkName,Meat Lover,Любитель мяса
Pk_4_9_MeatEater_PerkDescription,You gain additional wellbeing from eating meat.,Вы получаете дополнительное Самочувствие от употребления мяса.
Pk_4_9_SaladLover_PerkName,Salad Lover,Любитель салатов
Pk_4_9_SaladLover_PerkDescription,You gain additional wellbeing from eating vegetables.,Вы получаете дополнительное Самочувствие от употребления овощей.
Pk_4_9_SweetTooth_PerkName,Sweet Tooth,Сладкоежка
Pk_4_9_SweetTooth_PerkDescription,You gain additional wellbeing from eating sweet food.,Вы получаете дополнительное Самочувствие от употребления сладкой пищи.
AdvancedMagic_Completed_ObjectiveDescription,Advanced Magic,Продвинутая магия
AdvancedMagic_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
AdvancedMagic_Completed_Event_CardName,Advanced Magic Complete,Продвинутая магия завершена
AdvancedMagic_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
AdvancedMagic_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
AdvancedMagic_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
AdvancedMagic_Main_QuestTitle,Advanced Magic,Продвинутая магия
AdvancedMagic_Obj1_CraftAFocus_ObjectiveDescription,Craft a Focus,Создайте фокус
AdvancedMagic_Obj2_CompleteAFamiliarRitual_ObjectiveDescription,Complete a Summoning Ritual,Завершите ритуал призыва
AdvancedMagic_Obj3_CastASpellUsingAFocus_ObjectiveDescription,Cast a Spell using a Focus,"Произнесите заклинание, используя фокус"
AdvancedMagic_Sub1_CraftAFocus_QuestTitle,Craft a Focus,Создайте фокус
AdvancedMagic_Sub2_CompleteAFamiliarRitual_QuestTitle,Complete a Summoning Ritual,Завершите ритуал призыва
AdvancedMagic_Sub3_CastASpellUsingAFocus_QuestTitle,Cast a Spell using a Focus,"Произнесите заклинание, используя фокус"
AleBrewing_Completed_ObjectiveDescription,Ale Brewing,Пивоварение
AleBrewing_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
AleBrewing_Completed_Event_CardName,Ale Brewing Complete,Пивоварение завершено
AleBrewing_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
AleBrewing_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
AleBrewing_DisplayConditions_ObjectiveDescription,Ale Brewing,Пивоварение
AleBrewing_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
AleBrewing_Main_QuestTitle,Ale Brewing,Пивоварение
AleBrewing_Obj1_HydrateRyeGrainsToStartTheMaltingProcess_ObjectiveDescription,Hydrate Rye Grains to start the Malting Process,"Увлажните зерна ржи, чтобы начать процесс соложения"
AleBrewing_Obj2_DryTheGrainsIntoMaltedRye_ObjectiveDescription,Dry the grains into Malted Rye,Высушите зерна в солодовую рожь
AleBrewing_Obj3_MakeRyeWort_ObjectiveDescription,Make Rye Wort,Сделайте ржаное сусло
AleBrewing_Obj4_FermentTheWortIntoAle_ObjectiveDescription,Ferment the Wort into Ale,Сбродите сусло в эль
AleBrewing_Sub1_HydrateRyeGrainsToStartTheMaltingProcess_QuestTitle,Hydrate Rye Grains to start the Malting Process,"Гидратировать зерна ржи, чтобы начать процесс соложения"
AleBrewing_Sub2_DryTheGrainsIntoMaltedRye_QuestTitle,Dry the grains into Malted Rye,Высушить зерна в солодовую рожь
AleBrewing_Sub3_MakeRyeWort_QuestTitle,Make Rye Wort,Сделать ржаное сусло
AleBrewing_Sub4_FermentTheWortIntoAle_QuestTitle,Ferment the Wort into Ale,Сбродить сусло в эль
BasicBaking_Completed_ObjectiveDescription,Basic Baking,Пекарь Новичок
BasicBaking_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
BasicBaking_Completed_Event_CardName,Basic Baking Complete,Пекарь Новичок - Завершено
BasicBaking_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
BasicBaking_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
BasicBaking_DisplayConditions_ObjectiveDescription,Basic Magic,Маг Новичок
BasicBaking_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
BasicBaking_Main_QuestTitle,Basic Baking,Пекарь Новичок
BasicBaking_Obj1_BoilSomeAcorns_ObjectiveDescription,Boil some Acorns,Вскипятить немного желудей
BasicBaking_Obj2_GrindAcornsIntoFlour_ObjectiveDescription,Grind Acorns into Flour,Перемолоть желуди в муку
BasicBaking_Obj3_BakeSomeFlatbread_ObjectiveDescription,Bake some Flatbread,Испечь немного лепешек
BasicBaking_Sub1_BoilSomeAcorns_QuestTitle,Boil some Acorns,Вскипятить немного желудей
BasicBaking_Sub2_GrindAcornsIntoFlour_QuestTitle,Grind Acorns into Flour,Перемолоть желуди в муку
BasicBaking_Sub3_BakeSomeFlatbread_QuestTitle,Bake some Flatbread,Испечь немного лепешек
BasicMagic_Completed_ObjectiveDescription,Basic Magic,Маг Новичок
BasicMagic_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
BasicMagic_Completed_Event_CardName,Basic Magic Complete,Маг Новичок - Завершено
BasicMagic_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
BasicMagic_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
BasicMagic_DisplayConditions_ObjectiveDescription,Basic Magic,Маг Новичок
BasicMagic_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
BasicMagic_Main_QuestTitle,Basic Magic,Маг Новичок
BasicMagic_Obj1_BuildAShrine_ObjectiveDescription,Find or build a Shrine,Найти или построить святилище
BasicMagic_Obj2_GetASpiritBlessing_ObjectiveDescription,Get a Spirit Blessing,Получить благословение духа
BasicMagic_Sub1_BuildAshrine_QuestTitle,Find or Build a Shrine,Найти или построить святилище
BasicMagic_Sub2_GetASpiritBlessing_QuestTitle,Get a Spirit Blessing,Получить благословение духа
BasicTrading_Completed_ObjectiveDescription,Basic Trading,Основы Торговли
BasicTrading_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
BasicTrading_Completed_Event_CardName,Basic Trading Complete,Основы Торговли - Завершено
BasicTrading_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
BasicTrading_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
BasicTrading_DisplayConditions_ObjectiveDescription,Basic Trading,Основы Торговли
BasicTrading_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
BasicTrading_Main_QuestTitle,Basic Trading,Основы Торговли
BasicTrading_Obj1_FindTheTrader_ObjectiveDescription,Find the Trader,Найти торговца
BasicTrading_Obj2_BuySomeRye_ObjectiveDescription,Buy some Rye,Купить немного ржи
BasicTrading_Obj3_MakeARequestFromTheTrader_ObjectiveDescription,Make a Request from the Trader,Сделать запрос у торговца
BasicTrading_Sub1_FindTheTrader_QuestTitle,Find the Trader,Найти торговца
BasicTrading_Sub2_BuySomeRye_QuestTitle,Buy some Rye,Купить немного ржи
BasicTrading_Sub3_MakeARequestFromTheTrader_QuestTitle,Make a Request from the Trader,Сделать запрос у торговца
ExploreTheFairyHole_Completed_ObjectiveDescription,Explore the Fairy Hole,Исследовать фею-дыру
ExploreTheFairyHole_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
ExploreTheFairyHole_Completed_Event_CardName,Explore the Fairy Hole Complete,Исследование феи-дыры завершено
ExploreTheFairyHole_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
ExploreTheFairyHole_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
ExploreTheFairyHole_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
ExploreTheFairyHole_Main_QuestTitle,Explore the Fairy Hole,Исследовать Фейскую Пещеру
ExploreTheFairyHole_Obj1_MineSomeFlint_ObjectiveDescription,Mine some Flint,Добыть немного Кремня
ExploreTheFairyHole_Obj2_FindTheMotherLode_ObjectiveDescription,Find the Motherlode,Найти Материнскую жилу
ExploreTheFairyHole_Sub1_MineSomeFlint_QuestTitle,Mine some Flint,Добыть немного Кремня
ExploreTheFairyHole_Sub2_FindTheMotherLode_QuestTitle,Find the Motherlode,Найти Материнскую жилу
FractureAndSprainTreatment_Completed_ObjectiveDescription,Fracture and Sprain Treatment,Лечение Переломов и Растяжений
FractureAndSprainTreatment_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
FractureAndSprainTreatment_Completed_Event_CardName,Fracture and Sprain Treatment Complete,Лечение Переломов и Растяжений Завершено
FractureAndSprainTreatment_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
FractureAndSprainTreatment_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
FractureAndSprainTreatment_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
FractureAndSprainTreatment_Main_QuestTitle,Fracture and Sprain Treatment,Лечение Переломов и Растяжений
FractureAndSprainTreatment_Obj1_CraftASplintAndEquipIt_ObjectiveDescription,Craft a Splint and Equip It,Создать Шину и Надеть Её
FractureAndSprainTreatment_Obj2_ApplyARiverPoulticeToTheSplint_ObjectiveDescription,Apply Soothing Ointment to Wound,Нанести Успокаивающую Мазь на Рану
FractureAndSprainTreatment_Obj3_DrinkSomeFairyTea_ObjectiveDescription,Drink some Fairy Tea,Выпить немного Фейского Чая
FractureAndSprainTreatment_Sub1_CraftASplintAndEquipIt_QuestTitle,Craft a Splint and Equip It,Создать Шину и Надеть Её
FractureAndSprainTreatment_Sub2_ApplyARiverPoulticeToTheSplint_QuestTitle,Apply Soothing Ointment to Wound,Нанести Успокаивающую Мазь на Рану
FractureAndSprainTreatment_Sub3_DrinkSomeFairyTea_QuestTitle,Drink some Fairy Tea,Выпить немного Фейского Чая
IntermediateBaking_Completed_ObjectiveDescription,Intermediate Baking,Среднее Пекарское Мастерство
IntermediateBaking_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
IntermediateBaking_Completed_Event_CardName,Intermediate Baking Complete,Среднее Пекарское Мастерство Завершено
IntermediateBaking_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
IntermediateBaking_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
IntermediateBaking_DisplayConditions_ObjectiveDescription,Intermediate Baking,Среднее Пекарское Мастерство
IntermediateBaking_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
IntermediateBaking_Main_QuestTitle,Intermediate Baking,Среднее Пекарское Мастерство
IntermediateBaking_Obj1_MakeSourDough_ObjectiveDescription,Make Sour Dough,Сделать Закваску
IntermediateBaking_Obj2_BakeARoundBread_ObjectiveDescription,Bake a Roundbread,Испечь Круглый Хлеб
IntermediateBaking_Obj3_BakeABreadLoaf_ObjectiveDescription,Bake a Bread Loaf,Испечь Буханку Хлеба
IntermediateBaking_Sub1_MakeSourDough_QuestTitle,Make Sour Dough,Сделать Закваску
IntermediateBaking_Sub2_BakeARoundBread_QuestTitle,Bake a Roundbread,Испечь Круглый Хлеб
IntermediateBaking_Sub3_BakeABreadLoaf_QuestTitle,Bake a Bread Loaf,Испечь Буханку Хлеба
IntermediateMagic_Completed_ObjectiveDescription,Intermediate Magic,Средняя Магия
IntermediateMagic_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
IntermediateMagic_Completed_Event_CardName,Intermediate Magic Complete,Средняя Магия Завершена
IntermediateMagic_Completed_Event_CardDescription,Blueprints and Tasks Available,Открыты новые чертежи и квесты
IntermediateMagic_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
IntermediateMagic_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
IntermediateMagic_Main_QuestTitle,Intermediate Magic,Средняя Магия
IntermediateMagic_Obj1_CraftAnAmulet_ObjectiveDescription,Craft an Amulet,Создать Амулет
IntermediateMagic_Obj3_EnchantAnItem_ObjectiveDescription,Enchant an Item,Зачаровать Предмет
IntermediateMagic_Sub1_CraftAnAmulet_QuestTitle,Craft an Amulet,Создать Амулет
IntermediateMagic_Sub3_EnchantAnItem_QuestTitle,Enchant an Item,Зачаровать Предмет
Number1_Completed_ObjectiveDescription,Number 1,Номер 1
Number1_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
Number1_Completed_Event_CardName,Number 1 Complete,Номер 1 - Завершено
Number1_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
Number1_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
Number1_Main_QuestTitle,Number 1,Номер 1
Number1_Obj1_ClickOnYourVesicalPressureStatAndClickOnTheUrinateButton_ObjectiveDescription,Click on your Vesical Pressure Stat and Click on the Urinate Button,Откройте показатель Мочевой Пузырь и нажмите на кнопку Мочеиспускания
Number1_Sub1_ClickOnYourVesicalPressureStatAndClickOnTheUrinateButton_QuestTitle,Click on your Vesical Pressure Stat and Click on the Urinate Button,"Откройте показатель Мочевой Пузырь и нажмите кнопку ""Мочеиспускание"""
Number2_Completed_ObjectiveDescription,Number 2,Номер 2
Number2_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
Number2_Completed_Event_CardName,Number 2 Complete,Номер 2 - Завершено
Number2_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
Number2_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
Number2_Main_QuestTitle,Number 2,Номер 2
Number2_Obj1_ClickOnYourRectalPressureStatAndClickOnTheDefecateButton_ObjectiveDescription,Click on your Rectal Pressure Stat and Click on the Defecate Button,"Откройте показатель Ректальное Давление и нажмите кнопку ""Дефекация"""
Number2_Sub1_ClickOnYourRectalPressureStatAndClickOnTheDefecateButton_QuestTitle,Click on your Rectal Pressure Stat and Click on the Defecate Button,"Откройте показатель Ректальное Давление и нажмите кнопку ""Дефекация"""
Resting_Completed_ObjectiveDescription,Resting,Отдых
Resting_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
Resting_Completed_Event_CardName,Resting Complete,Отдых - Завершено
Resting_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
Resting_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
Resting_Main_QuestTitle,Resting,Отдых
Resting_Obj1_ClickOnYourStaminaStatAndClickOnTheRestButton_ObjectiveDescription,Click on your Stamina Stat and click on the Rest Button,"Откройте показатель Выносливость и нажмите кнопку ""Передышка"""
Resting_Sub1_ClickOnYourStaminaStatAndClickOnTheRestButton_QuestTitle,Click on your Stamina Stat and click on the Rest Button,"Откройте показатель Выносливость и нажмите кнопку ""Передышка"""
ShelteredSleep_Completed_ObjectiveDescription,Sheltered Sleep,Сон в Укрытии
ShelteredSleep_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
ShelteredSleep_Completed_Event_CardName,Sheltered Sleep Complete,Сон в Укрытии - Завершено
ShelteredSleep_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
ShelteredSleep_DisplayConditions_ObjectiveDescription,Sheltered Sleep,Сон в Укрытии
ShelteredSleep_DisplayConditions_OnCompleteActions[0].ActionName,Unlocked,Разблокировано
ShelteredSleep_Main_QuestTitle,Sheltered Sleep,Сон в Укрытии
ShelteredSleep_Obj1_SleepInTheImprovisedShelterDuringTheNight_ObjectiveDescription,Sleep in The Improvised Shelter During the Night,Поспите в Шалаше ночью
ShelteredSleep_Sub1_SleepInTheImprovisedShelterDuringTheNight_QuestTitle,Sleep in The Improvised Shelter During the Night,Поспите в Шалаше ночью
WinterSurvival_Completed_ObjectiveDescription,Winter Survival,Выживание зимой
WinterSurvival_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
WinterSurvival_Completed_Event_CardName,Winter Survival Complete,Выживание зимой завершено
WinterSurvival_Completed_Event_CardDescription,Blueprints and Tasks Available,Доступны чертежи и задачи
WinterSurvival_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
WinterSurvival_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
WinterSurvival_Main_QuestTitle,Winter Survival,Выживание зимой
WinterSurvival_Obj1_GatherSomeSnow_ObjectiveDescription,Gather some Snow,Соберите немного снега
WinterSurvival_Obj2_BuildASnowman_ObjectiveDescription,Build a Snowman,Постройте снеговика
WinterSurvival_Obj3_MakeAFishingHoleInTheIce_ObjectiveDescription,Make a Fishing Hole in the Ice,Сделайте лунку для рыбалки во льду
WinterSurvival_Sub1_GatherSomeSnow_QuestTitle,Gather some Snow,Соберите немного снега
WinterSurvival_Sub2_BuildASnowman_QuestTitle,Build a Snowman,Постройте снеговика
WinterSurvival_Sub3_MakeAFishingHoleInTheIce_QuestTitle,Make a Fishing Hole in the Ice,Сделайте лунку для рыбалки во льду
Food_TagTooltip,Helps Avoid Starvation,Помогает избежать голода
Important_TagTooltip,Important Milestone,Важная веха
Medicine_TagTooltip,Helps Survive Ailments.,Помогает выжить при недугах.
QualityOfLife_TagTooltip,Raises your Quality of Life,Повышает качество жизни
Winter_TagTooltip,Helps Survive the Cold,Помогает выжить в холоде
AdvancedHunting_Completed_ObjectiveDescription,Advanced Hunting,Охотник Практик
AdvancedHunting_Completed_OnCompleteActions[0].ActionName,Completed,Завершено
AdvancedHunting_Completed_Event_CardName,Advanced Hunting Complete,Охотник Практик - Завершено
AdvancedHunting_Completed_Event_CardDescription,Blueprints and Tasks Available,Доступны чертежи и задачи
AdvancedHunting_Completed_Event_DismantleActions[0].ActionName,Continue,Продолжить
AdvancedHunting_DisplayConditions_OnCompleteActions[0].ActionName,Completed,Завершено
AdvancedHunting_Main_QuestTitle,Advanced Hunting,Охотник Практик
AdvancedHunting_Obj1_ApplySomeMudToYourSkin_ObjectiveDescription,Apply some Mud to your Skin,Нанесите немного грязи на кожу
AdvancedHunting_Obj2_BuildAHideout_ObjectiveDescription,Build a Hideout,Постройте укрытие
AdvancedHunting_Obj3_RaiseYourStealthHighEnough_ObjectiveDescription,Raise your Stealth high enough,Повышайте свою скрытность достаточно высоко
AdvancedHunting_Obj4_HuntABoar_ObjectiveDescription,Hunt a Boar,Охотьтесь на кабана
AdvancedHunting_Sub1_ApplySomeMudToYourSkin_QuestTitle,Apply some Mud to your Skin,Нанесите немного грязи на кожу
AdvancedHunting_Sub2_BuildAHideout_QuestTitle,Build a Hideout,Постройте укрытие
AdvancedHunting_Sub3_RaiseYourStealthHighEnough_QuestTitle,Raise your Stealth high enough,Повышайте свою скрытность достаточно высоко
AdvancedHunting_Sub4_HuntABoar_QuestTitle,Hunt a Boar,Охотьтесь на кабана
AdvancedPottery_Completed_ObjectiveDescription*,Advanced Pottery,Продвинутая керамика
AdvancedPottery_Completed_OnCompleteActions[0].ActionName*,Completed,Завершено
AdvancedPottery_Completed_Event_CardName*,Advanced  Pottery Complete,Продвинутая керамика завершена
AdvancedPottery_Completed_Event_CardDescription*,Blueprints and Tasks Available,Открыты новые чертежи и квесты
AdvancedPottery_Completed_Event_DismantleActions[0].ActionName*,Continue,Продолжить
AdvancedPottery_DisplayConditions_OnCompleteActions[0].ActionName*,Completed,Завершено
AdvancedPottery_Main_QuestTitle*,Advanced Pottery,Продвинутая керамика
